dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,predicted_cnt
19.0,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.19,0.4975,0.220158,130.0,3162.0,3286.885869082591
27.0,2.0,1.0,4.0,0.0,5.0,1.0,1.0,0.4575,0.400833,0.34763299999999997,1014.0,5219.0,6338.377669874699
8.0,3.0,0.0,8.0,0.0,1.0,1.0,1.0,0.765,0.592083,0.192175,846.0,3480.0,4289.528587272636
1.0,1.0,0.0,1.0,0.0,6.0,0.0,2.0,0.344167,0.805833,0.160446,331.0,654.0,1027.9497590564508
22.0,1.0,1.0,12.0,0.0,6.0,0.0,1.0,0.265833,0.44125,0.1679636714666613,205.0,1544.0,1838.0307236937174
11.0,2.0,1.0,5.0,0.0,5.0,1.0,1.0,0.533333,0.360417,0.23693699999999998,1319.0,5711.0,7153.647950312108
23.0,2.0,0.0,3.0,0.0,3.0,1.0,2.0,0.346957,0.839565,0.23426100000000002,203.0,1918.0,2071.7935924983526
13.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.31652199999999997,0.457391,0.260883,397.0,1192.0,1600.1148694448023
29.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.458333,0.587083,0.116908,2229.0,4075.0,6517.129444236046
4.0,2.0,1.0,5.0,0.0,5.0,1.0,1.0,0.6275,0.735417,0.162938,1069.0,5227.0,6377.81876224835
15.0,1.0,1.0,3.0,0.0,4.0,1.0,1.0,0.5575,0.579583,0.149883,1005.0,5187.0,6273.832284860842
12.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.466667,0.489167,0.207713,838.0,4460.0,5337.724817266678
8.0,3.0,1.0,8.0,0.0,3.0,1.0,2.0,0.75,0.672917,0.1107,1263.0,6271.0,7607.168169980884
30.0,3.0,0.0,8.0,0.0,2.0,1.0,1.0,0.639167,0.548333,0.12500799999999998,775.0,4429.0,5187.141027402074
24.0,3.0,1.0,8.0,0.0,5.0,1.0,2.0,0.7025,0.615,0.07214580000000001,1325.0,6257.0,7678.967657395175
16.0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,0.5775,0.787917,0.126871,773.0,3185.0,3934.975144199053
29.0,4.0,1.0,11.0,0.0,4.0,1.0,1.0,0.28087,0.555652,0.115522,243.0,5080.0,5309.414590422459
6.0,3.0,0.0,9.0,0.0,2.0,1.0,3.0,0.54,0.886957,0.343943,204.0,2506.0,2659.8351329233797
7.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.271667,0.738333,0.045408300000000006,120.0,1592.0,1623.529800513092
13.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.6125,0.57625,0.225117,2172.0,3946.0,6324.850631789332
12.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.6925,0.747917,0.16356700000000002,1467.0,2993.0,4562.011797621029
7.0,2.0,0.0,4.0,0.0,4.0,1.0,1.0,0.4375,0.602917,0.16231199999999998,571.0,2570.0,3122.7374769336197
29.0,4.0,0.0,10.0,0.0,6.0,0.0,3.0,0.25416700000000003,0.8825,0.351371,57.0,570.0,649.0179603333206
15.0,4.0,0.0,12.0,0.0,4.0,1.0,2.0,0.4225,0.634167,0.268042,181.0,3528.0,3669.9216584819696
